ISIN;Название;Эффективная доходность (YTM), %;Кредитное качество (рэнкинг);Кредитное качество (число, max=10);Коэф. Ликвидности (max=100);Лет до даты;Цена, % от номинала;Событие в дату;Текущий номинал;НКД;Размер купона;Текущий купон, %;Купон (раз/год);Тип купона;Тип эмитента;Текущая цена + НКД;чистая прибыль;ROI (всего)
RU000A10AM16; СбКИБ1P111;0; AA;9;16,5;4,5;77,2;погашение;1000;0;0;0;0;нулевой;корпоративные;772;228;0,295336788
RU000A0ZYVU5;Роснфт2P5;15; AA;9;37,5;2,3;89,49;погашение;1000;16,03;44,88;7,3;2;фиксированный;корпоративные;910,93;268,59;0,294852513
RU000A10B4M9;СберИОС694;0; AA;9;26,4;4,5;77,3;погашение;1000;0,05;0,06;0,01;2;фиксированный;корпоративные;773,05;227,49;0,29427592
RU000A108VW7;РУСАЛ 1Р9;20,6; BBB;7;48,5;1,6;100,39;погашение;1000;0,53;15,78;0;12;плавающий;корпоративные;1004,43;295,39;0,294087194
RU000A10BFP3;МВ ФИН 1Р6;22,9; BB;6;52,7;1,5;106,48;погашение;1000;5,7;21,37;26;12;фиксированный;корпоративные;1070,5;314,16;0,293470341
RU000A106Y88; ВЭББНКР 04;27,8; B;3;38,9;1,4;92,19;погашение;1000;4,52;12,33;15;12;фиксированный;корпоративные;926,42;270,86;0,29237279
RU000A10B396;МОНОП 1P04;42; B+;4;56,5;0,9;93,29;погашение;1000;9,44;21,78;26,5;12;фиксированный;корпоративные;942,34;275,46;0,292314876
RU000A0ZZ4P9;РЖД 1Р-06R;15,8; AA;9;37,4;2;105,33;право продать (put);1000;6,59;92,25;18,5;2;фиксированный;корпоративные;1059,89;309,11;0,291643472
RU000A106SE5; Фордевинд4;27; B;3;37,3;1,3;93,25;погашение;1000;4,66;13,97;17;12;фиксированный;корпоративные;937,16;272,39;0,290654744
RU000A109H86; СбКИБ1P15;0; AA;9;24,1;0,4;77,5;погашение;1000;0;0;0;0;нулевой;корпоративные;775;225;0,290322581
RU000A10CMQ5;НовТех1Р8;19; BB;6;52,8;1,8;99,21;погашение;1000;10,71;13,97;17;12;фиксированный;корпоративные;1002,81;290,56;0,289745814
RU000A0ZYHW0;ЛевенгукБ1;16,8; B;3;30,4;2,1;97,62;погашение;1000;24,63;36,15;14,5;4;фиксированный;корпоративные;1000,83;288,37;0,288130851
RU000A10BYZ3;Медскан1Р1;18,4; BB;6;50,5;1,9;102,4;погашение;1000;12,16;15,21;18,5;12;фиксированный;корпоративные;1036,16;298,46;0,288044317
RU000A103VQ0;СберИОС480;0; AA;9;12,4;3;77,6;погашение;1000;0,4;0,7;0,01;0;фиксированный;корпоративные;776,4;223,6;0,287995878
RU000A107AG6;РоссЦP03;20; AA;9;45,4;1,6;99,34;погашение;1000;0,49;14,71;21,9;12;плавающий;корпоративные;993,89;285,6;0,287355744
RU000A0ZYR91;ГТЛК 1P-08;19,1; BBB;7;32,7;1,8;90,36;право продать (put);1000;27,6;28,22;11,32;4;фиксированный;корпоративные;931,2;266,34;0,286018041
RU000A107985;СберИОС595;0; AA;9;21,1;3,2;77,9;погашение;1000;0;0,01;0,01;12;фиксированный;корпоративные;779;221,38;0,284184852
RU000A101SC0;ГТЛК 1P-18;19,4; BBB;7;32,2;1,6;85,88;право продать (put);1000;11,38;19,55;7,84;4;фиксированный;корпоративные;870,18;247,12;0,283987221
RU000A0JTU85;РЖД-28 обл;16,4; AA;9;36,5;2,4;104,47;погашение;1000;16,36;90,25;15;2;фиксированный;корпоративные;1061,06;299,94;0,282679585
RU000A1055Y4;ПочтаР2P04;18,2; A;8;38,7;1,9;87,44;право продать (put);1000;13,43;46,12;9,25;2;фиксированный;корпоративные;887,83;250,53;0,2821824
RU000A10B933;Селигдар3Р;18,9; BBB;7;62,2;1,9;109,46;погашение;1000;13,38;19,11;23,25;12;фиксированный;корпоративные;1107,98;312,44;0,28199065
RU000A0JTK38;ОФЗ 26212;14,4; AAA;10;64,8;2,2;87,15;погашение;1000;18,35;35,15;7,05;2;фиксированный;государственные;889,85;250,75;0,281789066
RU000A10CQ77;КАМАЗ БП16;17,1; A;8;46,2;1,9;98,48;погашение;1000;5,72;12,25;14,9;12;фиксированный;корпоративные;990,52;278,98;0,281650042
RU000A10BQ60;РОЛЬФ 1Р08;22; BB;6;54,9;1,6;107,34;погашение;1000;18,16;20,96;25,5;12;фиксированный;корпоративные;1091,56;306,68;0,280955696
RU000A10ASF9; СибСтекБ01;27,7; B;3;38,6;1,3;104,04;погашение;1000;19,86;23,84;29;12;фиксированный;корпоративные;1060,26;297,34;0,280440647
RU000A108Y60;ПУБ001Р-01;21,8; B;3;39,7;1,7;101,59;погашение;875,5;12,66;15,83;22;12;фиксированный;корпоративные;1028,56;288,04;0,280042
RU000A100QA0;Самолет1P6;20,5; BBB;7;35,4;1,8;99,48;право продать (put);1000;42,12;46,75;10,85;4;плавающий;корпоративные;1036,92;290,33;0,279992671
RU000A105VC5;Полюс Б1P3;15; AA;9;45,3;2,3;92,28;погашение;1000;20,52;51,86;10,4;2;фиксированный;корпоративные;943,32;264,12;0,279989823
RU000A107EW5; Джой 1P1;27,2; B;3;37,5;1,1;93,2;погашение;1000;8,33;15,62;22;12;изменяемый;корпоративные;940,33;262,73;0,279401912
RU000A10CM71;iАйдеко 01;29,3; B;3;50,5;1,4;100,48;право продать (put);1000;39,95;67,32;27;4;фиксированный;корпоративные;1044,75;291,85;0,279349127
RU000A105KR6;ВСК 1P-03R;17; A;8;41,1;2,1;91,24;погашение;1000;44,69;56,1;11,25;2;фиксированный;корпоративные;957,09;267,31;0,279294528
RU000A0JXN05;РЖД Б01P1R;15,8; AA;9;41,6;2,6;106,46;право продать (put);1000;76,62;91,75;8,7;2;фиксированный;корпоративные;1141,22;317,53;0,278237325
RU000A10BPN7;ПолиплП2Б5;20,1; BB;6;57,7;1,6;109,44;погашение;1000;0;20,96;25,5;12;фиксированный;корпоративные;1094,4;303,84;0,277631579
RU000A108RP9;АФБАНК1Р12;21,8; A;8;47;1,6;99,96;погашение;1000;20,48;50,36;18,2;4;плавающий;корпоративные;1020,08;282,08;0,276527331
RU000A107UU5;Брус 2P02;22,8; BB;6;66;1,4;100,25;погашение;1000;5,18;17,84;21;12;фиксированный;корпоративные;1007,68;277,76;0,275643061
BYM000001941;РесБел 336;7,1; n/a;;38,7;4,3;97;погашение;1000;10,02;31,25;6,2;2;фиксированный;государственные;980,02;269,98;0,275484174
